# m c logL logPrior
-1.554544329322394702e+01 1.359352868039934048e+00 -7.272166057840122085e+04 -1.208304035914206764e+00
-1.496379693675843114e+01 -1.652824873148920570e+00 -7.177605460081248020e+04 -1.119576093822705065e+00
2.105291004061328053e+01 8.327413354092163544e+00 -7.087898347238388669e+04 -2.216125105890777380e+00
2.149611599628570957e+01 5.339499037619967581e+00 -7.075082606455213681e+04 -2.310415014628851793e+00
-1.457155941011926714e+01 -3.172223110291620962e+00 -7.056471557537188346e+04 -1.061651718213177054e+00
-1.356744498171533309e+01 -9.293594809986965188e+00 -7.012981710869303788e+04 -9.203778166593629129e-01
2.092115358629805044e+01 8.520015366051412187e+00 -7.011030413959297584e+04 -2.188473336907359013e+00
-1.527836437045199958e+01 1.879405483036285851e+00 -7.009678954911690380e+04 -1.167142089181485654e+00
-1.486015213656481393e+01 -6.737169521222003965e-01 -6.986408693861297797e+04 -1.104120607609259119e+00
-1.337132688268827074e+01 -9.959134150615993164e+00 -6.943836619943846017e+04 -8.939619130185101348e-01
-1.528319324387917888e+01 2.872836160337151057e+00 -6.900961585458739137e+04 -1.167879978648770800e+00
-1.359381668300843593e+01 -6.716451269100168098e+00 -6.734581318822094181e+04 -9.239592600561922220e-01
2.043987243777267793e+01 9.156122283340099699e+00 -6.726259928485614364e+04 -2.088941926362095636e+00
-1.349763190422003944e+01 -6.982372956816803367e+00 -6.694133784512925195e+04 -9.109303351090934919e-01
-1.493159812134695663e+01 2.761432735032868013e+00 -6.653349733936887060e+04 -1.114763112287059821e+00
-1.564677406707636287e+01 7.642791506260466328e+00 -6.642097110151170637e+04 -1.224107693530666952e+00
2.017439094361427365e+01 9.710420602076027308e+00 -6.594806305466266349e+04 -2.035030249728928542e+00
-1.450704487192577830e+01 1.015041281244184690e+00 -6.536145929135616461e+04 -1.052271754580340168e+00
-1.414394779424221227e+01 -1.206252140843383946e+00 -6.517655320145536098e+04 -1.000256296031245773e+00
-1.306456367435423793e+01 -8.138210631238925075e+00 -6.509194864142801816e+04 -8.534141200062813626e-01
-1.487181636669949825e+01 4.073017693287229513e+00 -6.466293910379455338e+04 -1.105854610224155099e+00
-1.547653307252734223e+01 8.406919691124922878e+00 -6.436170365166047850e+04 -1.197615379725163187e+00
-1.349465822096121315e+01 -4.528578710983873989e+00 -6.416381510122156033e+04 -9.105290025027802381e-01
-1.275026232150949212e+01 -9.180627954597751383e+00 -6.399706447867771203e+04 -8.128459463365229620e-01
