# m c logL logPrior
3.488848735255980937e+00 1.313281667881903703e+00 -7.890647603494633699e+01 -6.086032748748629317e-02
3.553250052209041332e+00 8.709294944986909481e-01 -7.890456770658721553e+01 -6.312792966761777980e-02
3.478248215991446735e+00 1.263150393883922140e+00 -7.888874463498648026e+01 -6.049105326023841017e-02
3.484385995460667296e+00 1.319140878039168019e+00 -7.888622846881312967e+01 -6.070472882681211824e-02
3.485547924443095802e+00 1.180602862734880798e+00 -7.888406468611620426e+01 -6.074522166794787265e-02
3.524272677394686859e+00 9.463901258331460786e-01 -7.888133742836319584e+01 -6.210248952315357979e-02
3.496180042518115094e+00 1.100489870560412697e+00 -7.887157307341081491e+01 -6.111637444850984147e-02
3.502762079401168016e+00 1.269562277654179727e+00 -7.886848408281677791e+01 -6.134671092445397739e-02
3.554814800450763368e+00 8.817598650894276080e-01 -7.884670139946186396e+01 -6.318354132751900776e-02
3.544013412221742598e+00 1.040299872423742000e+00 -7.884427343052536230e+01 -6.280015533003799333e-02
3.479863754154406852e+00 1.313136922354172009e+00 -7.884176408853447526e+01 -6.054725873738801140e-02
3.504432011498104238e+00 1.262371760957121447e+00 -7.884070973621965095e+01 -6.140521861606324655e-02
3.495146946443187019e+00 1.108436313591185884e+00 -7.883695244033256699e+01 -6.108026088615568089e-02
3.479902344798444513e+00 1.241704544081843054e+00 -7.883404299089700373e+01 -6.054860164666855948e-02
3.535645636446547613e+00 9.036404825831584331e-01 -7.881492371755737736e+01 -6.250395033261756106e-02
3.485685865911371639e+00 1.182186400146961303e+00 -7.880850845072812660e+01 -6.075002977907154045e-02
3.550823412190109885e+00 8.731351723927111008e-01 -7.880820599821007022e+01 -6.304173452278707956e-02
3.479117366407391554e+00 1.255961288258629516e+00 -7.880573920968207347e+01 -6.052128824618752123e-02
3.490975826815414518e+00 1.139323434188832973e+00 -7.880546663401662499e+01 -6.093456111704783490e-02
3.494086948357020717e+00 1.116785931755096550e+00 -7.880137364473560524e+01 -6.104321801339439302e-02
3.519370260276843965e+00 9.706348901765751158e-01 -7.880001329932927945e+01 -6.192983514460550371e-02
3.545332730884589001e+00 8.784840738674417615e-01 -7.879384515388699128e+01 -6.284692086340788741e-02
3.521543661307830586e+00 1.181401480672056303e+00 -7.878609943089750800e+01 -6.200634879248680120e-02
3.481300255266473354e+00 1.313178530469517824e+00 -7.878087171217326556e+01 -6.059725733659206831e-02
3.541289581149350330e+00 8.878858475652955384e-01 -7.877663635668906750e+01 -6.270365948778471032e-02
3.550631673162882862e+00 9.793417134196711338e-01 -7.876977125401043622e+01 -6.303492639233726491e-02
3.489357211876617182e+00 1.307732644253324361e+00 -7.876395724039166168e+01 -6.087806876037678977e-02
3.525922271441074951e+00 9.419967864673141067e-01 -7.876211016768925788e+01 -6.216063932122094238e-02
3.532339793153453478e+00 1.118599332374134114e+00 -7.875609860730402545e+01 -6.238712207147691091e-02
3.479051420888072066e+00 1.298735450563969884e+00 -7.874744501125050533e+01 -6.051899394591656045e-02
3.547358230998797879e+00 1.009427917089590565e+00 -7.874692518948202746e+01 -6.291875209517459877e-02
3.501229700851008708e+00 1.070975776665786139e+00 -7.874516050059943950e+01 -6.129304709060621331e-02
3.551938677808866185e+00 8.778833324556380990e-01 -7.874009364975626113e+01 -6.308134185457298093e-02
3.553778430411223432e+00 8.853898048036742408e-01 -7.873236192909433839e+01 -6.314670566228029747e-02
3.552621166438210132e+00 8.802784760838677780e-01 -7.872876024843583309e+01 -6.310558576112394735e-02
3.525555588727286693e+00 9.445808318208460674e-01 -7.871824149002009108e+01 -6.214771104603102059e-02
3.500876352559096905e+00 1.272805384612603730e+00 -7.871291666186331781e+01 -6.128067617953743274e-02
